n02119789	kit fox, vulpes macrotis
n02478875	proconsul
n02473983	sinanthropus, genus sinanthropus
n02100735	english setter
n02390258	hinny
n02110185	siberian husky
n02338449	round tailed muskrat, florida water rat, neofiber alleni
n02431976	japanese deer, sika, cervus nipon, cervus sika
n02391617	quagga, equus quagga
n02333546	brown rat, norway rat, rattus norvegicus
n02090253	plott hound
n02078574	california sea lion, zalophus californianus, zalophus californicus
n02485988	mangabey
n02129991	liger
n02096294	australian terrier
n02337332	cotton mouse, peromyscus gossypinus
n02102040	english springer, english springer spaniel
n02073831	manatee, trichechus manatus
n02431542	brocket
n02140268	pteropus hypomelanus
n02430830	fawn
n02418064	goat antelope
n02101670	field spaniel
n02115335	wild dog
n02336641	wood mouse
n02455135	apar, three banded armadillo, tolypeutes tricinctus
n02390101	mule
n02066245	grey whale, gray whale, devilfish, eschrichtius gibbosus, eschrichtius robustus
n02427032	common eland, taurotragus oryx
n02388453	pole horse
n02341475	water vole, richardson vole, microtus richardsoni
n02147591	pallid bat, cave bat, antrozous pallidus
n02456275	pichiciago, pichiciego, fairy armadillo, chlamyphore, chlamyphorus truncatus
n02496913	lemur
n02509815	lesser panda, red panda, panda, bear cat, cat bear, ailurus fulgens
n02149653	guano bat, mexican freetail bat, tadarida brasiliensis
n02131653	bear
n02424085	bongo, tragelaphus eurycerus, boocercus eurycerus
n02378625	charger, courser
n02133400	cinnamon bear
n02443959	snake muishond, poecilogale albinucha
n02424695	harnessed antelope
n02090475	wolfhound
n02070776	vaquita, phocoena sinus
n02360781	american flying squirrel
n02132788	alaskan brown bear, kodiak bear, kodiak, ursus middendorffi, ursus arctos middendorffi
n02491329	silky tamarin, leontocebus rosalia
n02508213	common raccoon, common racoon, coon, ringtail, procyon lotor
n02392824	white rhinoceros, ceratotherium simum, diceros simus
n02385776	nonstarter
n02357585	chickeree, douglas squirrel, tamiasciurus douglasi
n02457945	two toed sloth, unau, unai, choloepus didactylus
n02424589	lesser kudu, tragelaphus imberbis
n02367492	chinchilla, chinchilla laniger
n02124075	egyptian cat
n02476870	australopithecus africanus
n02417914	ibex, capra ibex
n02499808	galago, bushbaby, bush baby
n02095050	fox terrier
n02084732	pooch, doggie, doggy, barker, bow wow
n02123394	persian cat
n02125311	cougar, puma, catamount, mountain lion, painter, panther, felis concolor
n02151230	hairy legged vampire bat, diphylla ecaudata
n02409202	tamarau, tamarao, bubalus mindorensis, anoa mindorensis
n02423022	gazelle
n02333190	european wood mouse, apodemus sylvaticus
n02346627	porcupine, hedgehog
n02403231	bullock, steer
n02363351	new world beaver, castor canadensis
n02077923	sea lion
n02342534	phenacomys
n02369293	mole rat
n02333819	sewer rat
n02374149	equine, equid
n02135610	large civet, viverra zibetha
n02110063	malamute, malemute, alaskan malamute
n02345340	grey lemming, gray lemming, red backed lemming
n02370137	damaraland mole rat
n02407172	milking shorthorn
n02447366	badger
n02109047	great dane
n02418465	mountain goat, rocky mountain goat, oreamnos americanus
n02095727	welsh terrier
n02407276	galloway
n02089867	walker hound, walker foxhound
n02125081	european wildcat, catamountain, felis silvestris
n02444251	striped muishond, ictonyx striata
n02438580	vicuna, vicugna vicugna
n02102177	welsh springer spaniel
n02129923	tigress
n02091134	whippet
n02323449	lagomorph, gnawing mammal
n02386853	carthorse, cart horse, drayhorse
n02147947	pipistrelle, pipistrel, pipistrellus pipistrellus
n02390938	chigetai, dziggetai, equus hemionus hemionus
n02092002	scottish deerhound, deerhound
n02469914	primate
n02417534	wild goat
n02088839	coonhound
n02086753	king charles spaniel
n02145910	frosted bat, vespertilio murinus
n02343320	golden hamster, syrian hamster, mesocricetus auratus
n02071294	killer whale, killer, orca, grampus, sea wolf, orcinus orca
n02327175	white tailed jackrabbit, whitetail jackrabbit, lepus townsendi
n02379430	tennessee walker, tennessee walking horse, walking horse, plantation walking horse
n02381364	grey, gray
n02089555	foxhound
n02405799	santa gertrudis
n02442845	mink
n02068974	dolphin
n02346170	northern bog lemming, synaptomys borealis
n02129837	bengal tiger
n02109150	guide dog
n02347573	long tailed porcupine, trichys lipura
n02504458	african elephant, loxodonta africana
n02127678	caracal, desert lynx, lynx caracal
n02068541	bottle nosed whale, bottlenose whale, bottlenose, hyperoodon ampullatus
n02066707	toothed whale
n02403153	stirk
n02073250	sea cow, sirenian mammal, sirenian
n02488415	entellus, hanuman, presbytes entellus, semnopithecus entellus
n02359915	eastern chipmunk, hackee, striped squirrel, ground squirrel, tamias striatus
n02389779	burro
n02141713	leafnose bat, leaf nosed bat
n02092339	weimaraner
n02127292	common lynx, lynx lynx
n02382948	racehorse, race horse, bangtail
n02429456	pronghorn, prongbuck, pronghorn antelope, american antelope, antilocapra americana
n02332755	field mouse, fieldmouse
n02351870	jerboa
n02473720	java man, trinil man
n02486657	chacma, chacma baboon, papio ursinus
n02505998	mastodon, mastodont
n02098105	soft coated wheaten terrier
n02095412	wirehair, wirehaired terrier, wire haired terrier
n02358584	suslik, souslik, citellus citellus
n02334728	kangaroo mouse
n02122298	kitty, kitty cat, puss, pussy, pussycat
n02096437	dandie dinmont, dandie dinmont terrier
n02114712	red wolf, maned wolf, canis rufus, canis niger
n02105641	old english sheepdog, bobtail
n02104523	shepherd dog, sheepdog, sheep dog
n02128925	jaguar, panther, panthera onca, felis onca
n02089725	american foxhound
n02449350	glutton, gulo gulo, wolverine
n02063662	right whale
n02148088	eastern pipistrel, pipistrellus subflavus
n02086346	toy spaniel
n02099997	pointer, spanish pointer
n02091635	otterhound, otter hound
n02449699	grison, grison vittatus, galictis vittatus
n02088466	bloodhound, sleuthhound
n02356381	eastern grey squirrel, eastern gray squirrel, cat squirrel, sciurus carolinensis
n02472293	homo, man, human being, human
n02103841	watchdog, guard dog
n02410141	gayal, mithan, bibos frontalis
n02087122	hunting dog
n02096051	airedale, airedale terrier
n02353861	gopher, pocket gopher, pouched rat
n02125872	kaffir cat, caffer cat, felis ocreata
n02375862	eohippus, dawn horse
n02442446	new world least weasel, mustela rixosa
n02391234	common zebra, burchell's zebra, equus burchelli
n02369680	naked mole rat
n02117135	hyena, hyaena
n02421449	gnu, wildebeest
n02106854	police dog
n02333733	wharf rat
n02138441	meerkat, mierkat
n02332954	nude mouse
n02102605	water spaniel
n02401031	bovid
n02382850	exmoor
n02122810	gib
n02097130	giant schnauzer
n02345997	southern bog lemming, synaptomys cooperi
n02358390	mantled ground squirrel, citellus lateralis
n02493509	titi, titi monkey
n02427576	lechwe, kobus leche
n02457408	three toed sloth, ai, bradypus tridactylus
n02121620	cat, true cat
n02085118	pariah dog, pye dog, pie dog
n02389026	sorrel
n02443484	black footed ferret, ferret, mustela nigripes
n02377291	stud, studhorse
n02378870	prancer
n02326763	leveret
n02110341	dalmatian, coach dog, carriage dog
n02089078	black and tan coonhound
n02086910	papillon
n02470238	simian
n02084861	cur, mongrel, mutt
n02340358	eastern woodrat, neotoma floridana
n02445715	skunk, polecat, wood pussy
n02354162	plains pocket gopher, geomys bursarius
n02339282	dusky footed wood rat
n02093256	staffordshire bullterrier, staffordshire bull terrier
n02450034	marten, marten cat
n02101861	springer spaniel, springer
n02364520	cavy
n02437482	bactrian camel, camelus bactrianus
n02112826	corgi, welsh corgi
n02117512	striped hyena, hyaena hyaena
n02406647	charolais
n02113978	mexican hairless
n02136452	fossa, fossa cat, cryptoprocta ferox
n02478239	rudapithecus, dryopithecus rudapithecus hungaricus
n02077658	fur seal
